run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].app[0].packetSent.result-recording-modes,count,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.monitoringServer.app[0].packetReceived.result-recording-modes,count,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.monitoringServer.app[0].endToEndDelay.result-recording-modes,+stats,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,sim-time-limit,600s,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.numSensors,12,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,**.arp.typename,GlobalArp,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,**.netmaskRoutes,"""""",,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.radioMedium.backgroundNoise.power,-110dBm,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.configurator.config,"xmldoc(""startopology.xml"")",,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.configurator.addStaticRoutes,false,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].mobility.initFromDisplayString,false,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].mobility.initialX,"uniform(1m, 19m)",,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].mobility.initialY,"uniform(1m, 19m)",,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].mobility.initialZ,0m,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.controller.numApps,0,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.lamp*.numApps,0,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,**.vector-recording,false,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,configname,PUB_T1,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,datetime,20260914-20:24:57,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,datetimef,20260914-202457,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,experiment,PUB_T1,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,inifile,omnetpp.ini,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,iterationvars,,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,iterationvarsd,,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,iterationvarsf,,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,measurement,,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,processid,1792,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,repetition,4,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,replication,#4,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,resultdir,results,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,runnumber,4,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,runattr,,,seedset,4,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,image-path,../../../inet-4.6.0/images,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,extends,PublishSubscribeBase,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].app[0].sendInterval,1s,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,repeat,5,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,seed-set,4,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,extends,Common,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].numApps,1,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].app[0].typename,UdpBasicApp,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].app[0].destAddresses,"""monitoringServer""",,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].app[0].destPort,3000,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].app[0].messageLength,50B,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].app[0].sendInterval,10s,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].app[0].startTime,"uniform(1s,2s)",,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].app[0].packetName,"""SensorPublication""",,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.monitoringServer.numApps,1,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.monitoringServer.app[0].typename,UdpSink,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.monitoringServer.app[0].localPort,3000,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].app[0].packetSent.result-recording-modes,count,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.monitoringServer.app[0].packetReceived.result-recording-modes,count,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.monitoringServer.app[0].endToEndDelay.result-recording-modes,+stats,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,sim-time-limit,600s,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.numSensors,12,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,**.arp.typename,GlobalArp,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,**.netmaskRoutes,"""""",,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.radioMedium.backgroundNoise.power,-110dBm,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.configurator.config,"xmldoc(""startopology.xml"")",,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.configurator.addStaticRoutes,false,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].mobility.initFromDisplayString,false,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].mobility.initialX,"uniform(1m, 19m)",,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].mobility.initialY,"uniform(1m, 19m)",,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.sensor[*].mobility.initialZ,0m,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.controller.numApps,0,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,*.lamp*.numApps,0,,,,,,,
PUB_T1-4-20260914-20:24:57-1792,config,,,**.vector-recording,false,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,configname,PUB_T10,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,datetime,20260914-20:34:36,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,datetimef,20260914-203436,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,experiment,PUB_T10,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,inifile,omnetpp.ini,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,iterationvars,,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,iterationvarsd,,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,iterationvarsf,,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,measurement,,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,processid,2127,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,repetition,2,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,replication,#2,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,resultdir,results,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,runnumber,2,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,runattr,,,seedset,2,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,config,,,image-path,../../../inet-4.6.0/images,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,config,,,extends,PublishSubscribeBase,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,config,,,*.sensor[*].app[0].sendInterval,10s,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,config,,,repeat,5,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,config,,,seed-set,2,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,config,,,extends,Common,,,,,,,
PUB_T10-2-20260914-20:34:36-2127,config,,,*.sensor[*].numApps,1,,,,,,,
